date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:26	56782/56782	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:15%20GMT	http://96.8.93.198/National/ForecastTomorrow.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/ForecastTomorrow.html	(from http://96.8.93.198/)
16:51:26	48559/48559	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:15%20GMT	http://96.8.93.198/National/Radar/Default.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Radar/Default.html	(from http://96.8.93.198/)
16:51:26	60216/60216	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:17%20GMT	http://96.8.93.198/National/Radar/Current.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Radar/Current.html	(from http://96.8.93.198/)
16:51:26	68730/68730	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:17%20GMT	http://96.8.93.198/National/Radar/Forecast.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Radar/Forecast.html	(from http://96.8.93.198/)
16:51:28	62716/62716	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:18%20GMT	http://96.8.93.198/National/Radar/Summary.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Radar/Summary.html	(from http://96.8.93.198/)
16:51:28	63140/63140	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:18%20GMT	http://96.8.93.198/National/Radar/Yesterday.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Radar/Yesterday.html	(from http://96.8.93.198/)
16:51:29	68795/68795	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:19%20GMT	http://96.8.93.198/National/Radar/OneKM.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Radar/OneKM.html	(from http://96.8.93.198/)
16:51:29	68127/68127	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:19%20GMT	http://96.8.93.198/National/Radar/Metro.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Radar/Metro.html	(from http://96.8.93.198/)
16:51:30	46873/46873	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:21%20GMT	http://96.8.93.198/National/Nexrad/Default.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Nexrad/Default.html	(from http://96.8.93.198/)
16:51:30	89660/89660	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:21%20GMT	http://96.8.93.198/National/Nexrad/BaseReflectivity.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Nexrad/BaseReflectivity.html	(from http://96.8.93.198/)
16:51:31	87676/87676	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:22%20GMT	http://96.8.93.198/National/Nexrad/RadialVelocity.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Nexrad/RadialVelocity.html	(from http://96.8.93.198/)
16:51:31	49347/49347	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:22%20GMT	http://96.8.93.198/National/Surface/Default.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Surface/Default.html	(from http://96.8.93.198/)
16:51:32	56702/56702	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:22%20GMT	http://96.8.93.198/National/Surface/Current.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Surface/Current.html	(from http://96.8.93.198/)
16:51:32	53050/53050	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:22%20GMT	http://96.8.93.198/National/Surface/Mixed.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Surface/Mixed.html	(from http://96.8.93.198/)
16:51:33	56485/56485	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:23%20GMT	http://96.8.93.198/National/Surface/Forecast12.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Surface/Forecast12.html	(from http://96.8.93.198/)
16:51:33	56491/56491	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:23%20GMT	http://96.8.93.198/National/Surface/Forecast24.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Surface/Forecast24.html	(from http://96.8.93.198/)
16:51:34	56491/56491	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:25%20GMT	http://96.8.93.198/National/Surface/Forecast36.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Surface/Forecast36.html	(from http://96.8.93.198/)
16:51:34	56058/56058	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:25%20GMT	http://96.8.93.198/National/Surface/Forecast48.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Surface/Forecast48.html	(from http://96.8.93.198/)
16:51:35	47029/47029	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:26%20GMT	http://96.8.93.198/National/Satellite/Default.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Satellite/Default.html	(from http://96.8.93.198/)
16:51:35	55506/55506	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:26%20GMT	http://96.8.93.198/National/Satellite/Infrared.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Satellite/Infrared.html	(from http://96.8.93.198/)
16:51:36	63810/63810	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:26%20GMT	http://96.8.93.198/National/Satellite/Regional.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Satellite/Regional.html	(from http://96.8.93.198/)
16:51:36	68737/68737	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:27%20GMT	http://96.8.93.198/National/Satellite/Visible.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Satellite/Visible.html	(from http://96.8.93.198/)
16:51:37	64900/64900	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:27%20GMT	http://96.8.93.198/National/Satellite/WaterVapor.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Satellite/WaterVapor.html	(from http://96.8.93.198/)
16:51:37	49040/49040	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:27%20GMT	http://96.8.93.198/National/Temperature/Default.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/Default.html	(from http://96.8.93.198/)
16:51:38	66653/66653	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:28%20GMT	http://96.8.93.198/National/Temperature/Current.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/Current.html	(from http://96.8.93.198/)
16:51:38	51329/51329	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:28%20GMT	http://96.8.93.198/National/Temperature/HighToday.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/HighToday.html	(from http://96.8.93.198/)
16:51:39	51349/51349	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:30%20GMT	http://96.8.93.198/National/Temperature/HighTomorrow.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/HighTomorrow.html	(from http://96.8.93.198/)
16:51:39	51333/51333	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:30%20GMT	http://96.8.93.198/National/Temperature/LowTomorrow.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/LowTomorrow.html	(from http://96.8.93.198/)
16:51:42	105023/105023	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:31%20GMT	http://96.8.93.198/National/Temperature/TEMPcast.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/TEMPcast.html	(from http://96.8.93.198/)
16:51:42	108868/108868	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:31%20GMT	http://96.8.93.198/National/Temperature/WindChill.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/WindChill.html	(from http://96.8.93.198/)
16:51:42	51015/51015	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:33%20GMT	http://96.8.93.198/National/Temperature/Departure.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/Departure.html	(from http://96.8.93.198/)
16:51:42	65104/65104	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:34%20GMT	http://96.8.93.198/National/Temperature/Extreme.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/Extreme.html	(from http://96.8.93.198/)
16:51:44	51332/51332	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:34%20GMT	http://96.8.93.198/National/Temperature/Departure10.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/Departure10.html	(from http://96.8.93.198/)
16:51:44	51330/51330	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:34%20GMT	http://96.8.93.198/National/Temperature/Departure30.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/Departure30.html	(from http://96.8.93.198/)
16:51:44	53936/53936	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:35%20GMT	http://96.8.93.198/National/Temperature/FrostFreeze.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/FrostFreeze.html	(from http://96.8.93.198/)
16:51:46	51293/51293	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:36%20GMT	http://96.8.93.198/National/Temperature/Departure90.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/Departure90.html	(from http://96.8.93.198/)
16:51:46	51081/51081	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:36%20GMT	http://96.8.93.198/National/Temperature/FirstLastFreeze.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/FirstLastFreeze.html	(from http://96.8.93.198/)
16:51:46	61481/61481	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:37%20GMT	http://96.8.93.198/National/Temperature/Delta.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Temperature/Delta.html	(from http://96.8.93.198/)
16:51:47	47367/47367	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:37%20GMT	http://96.8.93.198/National/Outdoors/Default.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Outdoors/Default.html	(from http://96.8.93.198/)
16:51:48	106432/106432	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:38%20GMT	http://96.8.93.198/National/Outdoors/SOLARcast.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Outdoors/SOLARcast.html	(from http://96.8.93.198/)
16:51:48	50283/50283	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:38%20GMT	http://96.8.93.198/National/Outdoors/Summer.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Outdoors/Summer.html	(from http://96.8.93.198/)
16:51:49	108098/108098	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:40%20GMT	http://96.8.93.198/National/Outdoors/Gardening.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Outdoors/Gardening.html	(from http://96.8.93.198/)
16:51:50	50272/50272	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:40%20GMT	http://96.8.93.198/National/Outdoors/Watering.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Outdoors/Watering.html	(from http://96.8.93.198/)
16:51:51	104432/104432	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:41%20GMT	http://96.8.93.198/National/Outdoors/Painting.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Outdoors/Painting.html	(from http://96.8.93.198/)
16:51:52	104300/104300	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:41%20GMT	http://96.8.93.198/National/Outdoors/Golfing.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Outdoors/Golfing.html	(from http://96.8.93.198/)
16:51:53	50291/50291	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:43%20GMT	http://96.8.93.198/National/Outdoors/Turf.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Outdoors/Turf.html	(from http://96.8.93.198/)
16:51:54	62804/62804	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:44%20GMT	http://96.8.93.198/National/Outdoors/UltraViolet.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Outdoors/UltraViolet.html	(from http://96.8.93.198/)
16:51:55	107335/107335	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:44%20GMT	http://96.8.93.198/National/Outdoors/Sky.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Outdoors/Sky.html	(from http://96.8.93.198/)
16:51:55	49008/49008	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:46%20GMT	http://96.8.93.198/National/Precipitation/Default.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Precipitation/Default.html	(from http://96.8.93.198/)
16:51:57	106735/106735	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:47%20GMT	http://96.8.93.198/National/Precipitation/PrecipCast.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Precipitation/PrecipCast.html	(from http://96.8.93.198/)
16:51:57	106629/106629	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:47%20GMT	http://96.8.93.198/National/Precipitation/RainCast.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Precipitation/RainCast.html	(from http://96.8.93.198/)
16:51:58	61164/61164	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:48%20GMT	http://96.8.93.198/National/Precipitation/Estimated.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Precipitation/Estimated.html	(from http://96.8.93.198/)
16:51:59	102913/102913	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:48%20GMT	http://96.8.93.198/National/Precipitation/PopCast.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Precipitation/PopCast.html	(from http://96.8.93.198/)
